sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"3rd assistant engineer, crowley",Ship Engineers (53-5031.00),Ship Engineers (53-5031.00),Ship Engineers (53-5031.00),Ship Engineers (53-5031.00)
"3rd class stationary steam operator, boiler operator, pride manufacturing ltd.",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"3rd grade teacher in dual immersion program, corvallis school district","Elementary School Teachers, Except Special Education (25-2021.00)","Elementary School Teachers, Except Special Education (25-2021.00)","Elementary School Teachers, Except Special Education (25-2021.00)","Elementary School Teachers, Except Special Education (25-2021.00)"
"3rd key manager, reebok","Managers, All Other (11-9199.00)","Managers, All Other (11-9199.00)","First-Line Supervisors of Retail Sales Workers (41-1011.00); Sales Managers (11-2022.00); Managers, All Other (11-9199.00)","Managers, All Other (11-9199.00)"
"3rd key supervisor, claire's",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
"4 year old kindergarten teacher, little minds learning center","Preschool Teachers, Except Special Education (25-2011.00)","Preschool Teachers, Except Special Education (25-2011.00)","Kindergarten Teachers, Except Special Education (25-2012.00)","Preschool Teachers, Except Special Education (25-2011.00)"
"401(k) account service representative, aetna financial svc","Customer Service Representatives (43-4051.00); Financial Clerks, All Other (43-3099.00)","Customer Service Representatives (43-4051.00); Securities, Commodities, and Financial Services Sales Agents (41-3031.00)","Customer Service Representatives (43-4051.00); Securities, Commodities, and Financial Services Sales Agents (41-3031.00)","Customer Service Representatives (43-4051.00);Securities, Commodities, and Financial Services Sales Agents (41-3031.00)"
"7th grade math teacher, para los niños","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)"
"88m motor transport operator, us army","Motor Vehicle Operators, All Other (53-3099.00); Heavy and Tractor-Trailer Truck Drivers (53-3032.00); Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Motor Vehicle Operators, All Other (53-3099.00); Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)","Motor Vehicle Operators, All Other (53-3099.00);Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019.00)"
"8th grade mathematics teacher, groveport community school","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)"
"8th pre-algebra teacher, halls middle school","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)","Middle School Teachers, Except Special and Career/Technical Education (25-2022.00)"
"911 dispatch, bradley county",Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00)
"911 dispatcher, york county",Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00)
"911 emergency communications officer, town of holly springs",Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00)
"911 operator, davis police dept",Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00),Public Safety Telecommunicators (43-5031.00)
"921st contracting battalion commander, u.s. army contracting command","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00); Command and Control Center Officers (55-1015.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"9th grade girls basketball coach, elk river area high school",Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00),Coaches and Scouts (27-2022.00)
"a surgical technician, the ohio state university",Surgical Technologists (29-2055.00),Surgical Technologists (29-2055.00),Surgical Technologists (29-2055.00),Surgical Technologists (29-2055.00)
"a&p mechanic, prescott wing & rotor",Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00),Aircraft Mechanics and Service Technicians (49-3011.00)
"aba coach, easter seals, inc.",Social and Human Service Assistants (21-1093.00),"Special Education Teachers, All Other (25-2059.00); Substance Abuse and Behavioral Disorder Counselors (21-1011.00)",Substance Abuse and Behavioral Disorder Counselors (21-1011.00),Substance Abuse and Behavioral Disorder Counselors (21-1011.00)
"aba tutor, aba therapist, knapp center for childhood development",None (00-0000.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"abe instructor, mcdi","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011.00)","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011.00)","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011.00)","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011.00)"
"abh2 (sw-aw), aviation boatswain mate handler, abh, united states navy, us navy",Aircraft Launch and Recovery Specialists (55-3012.00),Aircraft Launch and Recovery Specialists (55-3012.00),Aircraft Launch and Recovery Specialists (55-3012.00),Aircraft Launch and Recovery Specialists (55-3012.00)
"abogada gerencia legal, telefónica colombia",Lawyers (23-1011.00),Lawyers (23-1011.00),Lawyers (23-1011.00),Lawyers (23-1011.00)
"academic adviser, transfer and distance learning hshs, the university of toledo, university of toledo","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"academic advisor, college of charleston","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"academic manager, upmc and university of pittsburgh school of medicine, department of anesthesiology","Education Administrators, Postsecondary (11-9033.00)","Education Administrators, Postsecondary (11-9033.00)","Education Administrators, Postsecondary (11-9033.00)","Education Administrators, Postsecondary (11-9033.00)"
"academic peer coach, bellarmine university residence life office",Tutors (25-3041.00); Residential Advisors (39-9041.00),"Residential Advisors (39-9041.00); Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Residential Advisors (39-9041.00); Educational, Guidance, and Career Counselors and Advisors (21-1012.00)","Residential Advisors (39-9041.00);Educational, Guidance, and Career Counselors and Advisors (21-1012.00)"
"academic program coordinator, brown university school of professional studies","Education Administrators, Postsecondary (11-9033.00)","Instructional Coordinators (25-9031.00); Education Administrators, Postsecondary (11-9033.00)","Education Administrators, Postsecondary (11-9033.00)","Education Administrators, Postsecondary (11-9033.00)"
"academic tutor, american read",Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00)
"account analyst, hatch leonard naples",Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00); Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00); Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00);Accountants and Auditors (13-2011.00)
"account control analyst, utah retirement systems",Financial and Investment Analysts (13-2051.00); Accountants and Auditors (13-2011.00),Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00),Financial and Investment Analysts (13-2051.00)
"account coordinator, tipping point communications",Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00),Public Relations Specialists (27-3031.00)
"account director, level 3 communications",Public Relations Managers (11-2032.00); Marketing Managers (11-2021.00); Sales Managers (11-2022.00),Sales Managers (11-2022.00),Public Relations Managers (11-2032.00); Marketing Managers (11-2021.00),Public Relations Managers (11-2032.00);Marketing Managers (11-2021.00);Sales Managers (11-2022.00)
"account executive, allover media",Advertising Sales Agents (41-3011.00),Advertising Sales Agents (41-3011.00),Advertising Sales Agents (41-3011.00),Advertising Sales Agents (41-3011.00)
"account executive, clear channel communications",Advertising Sales Agents (41-3011.00),"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)",Advertising Sales Agents (41-3011.00),Advertising Sales Agents (41-3011.00)
"account executive, corporate audio visual services","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, ellingsen brady advertising",Advertising Sales Agents (41-3011.00); Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00),Advertising Sales Agents (41-3011.00),Advertising Sales Agents (41-3011.00);Advertising and Promotions Managers (11-2011.00)
"account executive, mckesson provider technologies","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, newman grace inc., newmangrace","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, power windows and siding nj","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, rentpath","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, the breeze corporation","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, ups","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, yahoo! inc.","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account executive, zimmerman advertising",Advertising Sales Agents (41-3011.00),Advertising and Promotions Managers (11-2011.00),Advertising Sales Agents (41-3011.00); Advertising and Promotions Managers (11-2011.00),Advertising Sales Agents (41-3011.00);Advertising and Promotions Managers (11-2011.00)
"account manager - pacific northwest, mvp sales","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Managers (11-2022.00)",Sales Managers (11-2022.00),"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00);Sales Managers (11-2022.00)"
"account manager, iran post magazine",Sales Managers (11-2022.00); Advertising and Promotions Managers (11-2011.00); Marketing Managers (11-2021.00),"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Advertising and Promotions Managers (11-2011.00)","Advertising and Promotions Managers (11-2011.00);Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account manager, norcal acquisitions, inc.","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Managers (11-2022.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00);Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)"
"account manager, sales representative, full house casino events, full house casino events company","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00); Sales Managers (11-2022.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account manager, youversion","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Managers (11-2022.00); Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00);Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account operator, innisfree - innovative marketing solutions","Business Operations Specialists, All Other (13-1199.00); Marketing Managers (11-2021.00)","Business Operations Specialists, All Other (13-1199.00)",None (00-0000.00),"Business Operations Specialists, All Other (13-1199.00)"
"account payable accountant, hargray communications",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"account representative, cardon outreach",Customer Service Representatives (43-4051.00),Customer Service Representatives (43-4051.00),Customer Service Representatives (43-4051.00),Customer Service Representatives (43-4051.00)
"account representative, cimarron graphics","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00); Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Customer Service Representatives (43-4051.00); Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00)","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products (41-4012.00);Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel (41-3091.00)"
"account supervisor, razorfish",Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00); Marketing Managers (11-2021.00),Advertising and Promotions Managers (11-2011.00)
"account supervisor, temerlin-mcclain",Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00),Advertising and Promotions Managers (11-2011.00)
"accountant and auditor, express employment professionals",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"accountant, automerge enterprises",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"accountant, bordeaux company, llc",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"accountant, cascade designs",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"accountant, john deere",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"accounting and statistics tutor, henderson state university",Tutors (25-3041.00),"Tutors (25-3041.00); Business Teachers, Postsecondary (25-1011.00); Mathematical Science Teachers, Postsecondary (25-1022.00)",Tutors (25-3041.00),Tutors (25-3041.00)
"accounting assistant, itr accounting and tax solutions","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)"
"accounting clerk, ray stone incorporated","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)"
"accounting specialist, senior billing specialist, hansen storage company / wts","Billing and Posting Clerks (43-3021.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Billing and Posting Clerks (43-3021.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00); Billing and Posting Clerks (43-3021.00)","Billing and Posting Clerks (43-3021.00);Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)"
"accounts payable clerk, korrect optical","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)"
"accounts payable specialist, murphy-hoffman company (mhc kenworth)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)"
"accounts receivable clerk, general wholesale company","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00); Billing and Posting Clerks (43-3021.00)","Billing and Posting Clerks (43-3021.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00);Billing and Posting Clerks (43-3021.00)"
"accounts receivable, closson's","Bill and Account Collectors (43-3011.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00); Billing and Posting Clerks (43-3021.00)","Bill and Account Collectors (43-3011.00); Billing and Posting Clerks (43-3021.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00)","Bill and Account Collectors (43-3011.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00); Billing and Posting Clerks (43-3021.00)","Bill and Account Collectors (43-3011.00);Bookkeeping, Accounting, and Auditing Clerks (43-3031.00);Billing and Posting Clerks (43-3021.00)"
"ach processor, sterling/comerica bank","Financial Specialists, All Other (13-2099.00); Bookkeeping, Accounting, and Auditing Clerks (43-3031.00); Billing and Posting Clerks (43-3021.00)","Financial Clerks, All Other (43-3099.00)",None (00-0000.00),"F;i;n;a;n;c;i;a;l; ;C;l;e;r;k;s;,; ;A;l;l; ;O;t;h;e;r; ;(;4;3;-;3;0;9;9;.;0;0;)"
"acting appentice, florida studio theatre",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"acting apprentice, williamstown theatre festival",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"acting deputy chief clerk, board of elections in the city of new york (bronx division)","Court, Municipal, and License Clerks (43-4031.00); Administrative Services Managers (11-3012.00)","Court, Municipal, and License Clerks (43-4031.00)","Court, Municipal, and License Clerks (43-4031.00)","Court, Municipal, and License Clerks (43-4031.00)"
"activities coordinator and community outreach, oregon state university","Social and Community Service Managers (11-9151.00); Community and Social Service Specialists, All Other (21-1099.00)","Social and Community Service Managers (11-9151.00); Community and Social Service Specialists, All Other (21-1099.00)","Social and Community Service Managers (11-9151.00); Community and Social Service Specialists, All Other (21-1099.00)","Social and Community Service Managers (11-9151.00);Community and Social Service Specialists, All Other (21-1099.00)"
"activities desk attendant, rochester athletic club inc",Amusement and Recreation Attendants (39-3091.00),Amusement and Recreation Attendants (39-3091.00),Recreation Workers (39-9032.00); Amusement and Recreation Attendants (39-3091.00),Amusement and Recreation Attendants (39-3091.00)
"activities director, sentara healthcare",Recreational Therapists (29-1125.00),Recreational Therapists (29-1125.00); Recreation Workers (39-9032.00),Recreational Therapists (29-1125.00); Recreation Workers (39-9032.00),Recreational Therapists (29-1125.00);Recreation Workers (39-9032.00)
"activity director, via christi health",Social and Community Service Managers (11-9151.00); Recreational Therapists (29-1125.00),Recreational Therapists (29-1125.00); Social and Community Service Managers (11-9151.00),Recreational Therapists (29-1125.00); Recreation Workers (39-9032.00),Social and Community Service Managers (11-9151.00);Recreational Therapists (29-1125.00)
"actor, arts center of coastal carolina",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, eastern mennonite university theatre",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, fox searchlight pictures",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, microsoft",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, milwaukee repertory theater",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
"actor, peterborough players",Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00),Actors (27-2011.00)
